id,label,group,year
04df03b4-8ab3-449f-ab10-f4b279dd6a05,657214,U,2020
17cb799b-5a64-4f87-bac4-46b1790b0521,645393,1,2017
e49654e4-6bde-4fdc-a4eb-142a05a124a2,661016,U,2021
fd38cb8a-764c-4345-b44f-3ed7a6c20933,650067,62,2018
2311d3b2-7fb3-48fb-8b09-c04ac4fa1501,621199,N/A,2005
85fef36c-b658-4364-8ca4-998dd39fe234,652067,1,2019
dab9cc4e-b634-436d-8bdd-a47a3ccbe6bc,664224,U,2022
608bbe28-6c46-4448-bbe6-ee043326bf3e,663671,L,2022
0f4aef2c-39da-4302-a659-e9c5a488c788,669365,1,2023
0db80844-066b-474a-bfb0-168197ed6967,619787,L,2011
d43d5a60-7359-4c4d-9e48-0ef7de33543d,661125,L,2021
9f817b26-b3ec-462d-bbbf-a279d267d4fd,641266,L,2016
f8fe33c5-61a1-4fb9-91ca-9b9e9b666a32,630620,N/A,
68b16ac6-1fbf-4a4e-ab8a-517ecf68c34a,634162,62,2015
4e460dbe-b5e6-4a22-b798-d571838539d0,641186,L,2016
